dataset,hypothesis,run_id,method,ari,gamma,n_eval
H1-Easy,H1,23,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,23,Optuna-TPE,0.8421527334780549,0.0013051743995527957,15
H1-Easy,H1,24,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,24,Optuna-TPE,0.8375261498156403,0.0011201424752887473,15
H1-Easy,H1,25,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,25,Optuna-TPE,0.8421527334780549,0.002407198888738465,15
H1-Easy,H1,26,Default-KP,0.8945617792974683,0.7964861593840558,1
H1-Easy,H1,26,Optuna-TPE,0.8421527334780549,0.001014291189563669,15
H1-Easy,H1,27,Default-KP,0.4308482684016077,0.7964861593840558,1
H1-Easy,H1,27,Optuna-TPE,0.8421527334780549,0.0013299297835015884,15
H1-Easy,H1,28,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,28,Optuna-TPE,0.8462772548342792,0.0010753836513521292,15
H1-Easy,H1,29,Default-KP,0.8945617792974683,0.7964861593840558,1
H1-Easy,H1,29,Optuna-TPE,0.8421527334780549,0.0011412079086092826,15
H1-Medium,H1,0,Default-KP,0.44165412756683065,1.0485656336434177,1
H1-Medium,H1,0,Optuna-TPE,0.9655009287653467,0.001109900164845446,15
H1-Medium,H1,1,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,1,Optuna-TPE,0.9655009287653467,0.001056497841352004,15
H1-Medium,H1,2,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,2,Optuna-TPE,0.9655009287653467,0.001132184086991723,15
H1-Medium,H1,3,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,3,Optuna-TPE,0.9655009287653467,0.0012626665521941708,15
H1-Medium,H1,4,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,4,Optuna-TPE,0.9655009287653467,0.0010176628513017933,15
H1-Medium,H1,5,Default-KP,0.44150086932041804,1.0485656336434177,1
H1-Medium,H1,5,Optuna-TPE,0.9655009287653467,0.001063639689500009,15
H1-Medium,H1,6,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,6,Optuna-TPE,0.9655009287653467,0.0010352630599474325,15
H1-Medium,H1,7,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,7,Optuna-TPE,0.9655009287653467,0.0010083231918055905,15
H1-Medium,H1,8,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,8,Optuna-TPE,0.9655009287653467,0.0010534890615478308,15
H1-Medium,H1,9,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,9,Optuna-TPE,0.9655009287653467,0.0011576335156465644,15
H1-Medium,H1,10,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,10,Optuna-TPE,0.9655009287653467,0.0010721128593066335,15
H1-Medium,H1,11,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,11,Optuna-TPE,0.9655009287653467,0.001042353439508851,15
H1-Medium,H1,12,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,12,Optuna-TPE,0.9655009287653467,0.001213455428886769,15
H1-Medium,H1,13,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,13,Optuna-TPE,0.9655009287653467,0.0010945811465973142,15
H1-Medium,H1,14,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,14,Optuna-TPE,0.9655009287653467,0.0010355446606907575,15
H1-Medium,H1,15,Default-KP,0.45080141319178857,1.0485656336434177,1
H1-Medium,H1,15,Optuna-TPE,0.9655009287653467,0.0010021110260348188,15
H1-Medium,H1,16,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,16,Optuna-TPE,0.9655009287653467,0.0010564771133517849,15
H1-Medium,H1,17,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,17,Optuna-TPE,0.9655009287653467,0.0010684638083316605,15
H1-Medium,H1,18,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,18,Optuna-TPE,0.9655009287653467,0.0010629174790740621,15
H1-Medium,H1,19,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,19,Optuna-TPE,0.9655009287653467,0.0016391116441523098,15
H1-Medium,H1,20,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,20,Optuna-TPE,0.9655009287653467,0.001829877395337966,15
H1-Medium,H1,21,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,21,Optuna-TPE,0.9655009287653467,0.0010147059820426983,15
H1-Medium,H1,22,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,22,Optuna-TPE,0.9655009287653467,0.0011162821380616115,15
H1-Medium,H1,23,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,23,Optuna-TPE,0.9655009287653467,0.0013051743995527957,15
H1-Medium,H1,24,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,24,Optuna-TPE,0.9655009287653467,0.0011201424752887473,15
H1-Medium,H1,25,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,25,Optuna-TPE,0.9655009287653467,0.003388284493821433,15
H1-Medium,H1,26,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,26,Optuna-TPE,0.9655009287653467,0.001014291189563669,15
H1-Medium,H1,27,Default-KP,0.44848376845169147,1.0485656336434177,1
H1-Medium,H1,27,Optuna-TPE,0.9655009287653467,0.0011360006340848214,15
H1-Medium,H1,28,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,28,Optuna-TPE,0.9655009287653467,0.0010059069160232206,15
H1-Medium,H1,29,Default-KP,0.9703515041329707,1.0485656336434177,1
H1-Medium,H1,29,Optuna-TPE,0.9655009287653467,0.0011023172601763828,15
H1-Hard,H1,0,Default-KP,0.443416508133665,1.3204145009412942,1
H1-Hard,H1,0,Optuna-TPE,0.9949958125176231,0.0013279485776937776,15
H1-Hard,H1,1,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,1,Optuna-TPE,0.9949958125176231,0.001056497841352004,15
H1-Hard,H1,2,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,2,Optuna-TPE,0.9949958125176231,0.001132184086991723,15
H1-Hard,H1,3,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,3,Optuna-TPE,0.9949958125176231,0.0012626665521941708,15
H1-Hard,H1,4,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,4,Optuna-TPE,0.9949958125176231,0.0010325347646483853,15
H1-Hard,H1,5,Default-KP,0.44332400124338633,1.3204145009412942,1
H1-Hard,H1,5,Optuna-TPE,0.9949958125176231,0.001063639689500009,15
H1-Hard,H1,6,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,6,Optuna-TPE,0.9949958125176231,0.0010352630599474325,15
H1-Hard,H1,7,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,7,Optuna-TPE,0.9949958125176231,0.0010083231918055905,15
H1-Hard,H1,8,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,8,Optuna-TPE,0.9949958125176231,0.0010720793739375481,15
H1-Hard,H1,9,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,9,Optuna-TPE,0.9949958125176231,0.0011576335156465644,15
H1-Hard,H1,10,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,10,Optuna-TPE,0.9949958125176231,0.0010721128593066335,15
H1-Hard,H1,11,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,11,Optuna-TPE,0.9949958125176231,0.001042353439508851,15
H1-Hard,H1,12,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,12,Optuna-TPE,0.9949958125176231,0.001213455428886769,15
H1-Hard,H1,13,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,13,Optuna-TPE,0.9949958125176231,0.0011714008161251108,15
H1-Hard,H1,14,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,14,Optuna-TPE,0.9949958125176231,0.0010355446606907575,15
H1-Hard,H1,15,Default-KP,0.45211690209724176,1.3204145009412942,1
H1-Hard,H1,15,Optuna-TPE,0.9949958125176231,0.0010021110260348188,15
H1-Hard,H1,16,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,16,Optuna-TPE,0.9949958125176231,0.0010564771133517849,15
H1-Hard,H1,17,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,17,Optuna-TPE,0.9949958125176231,0.0010684638083316605,15
H1-Hard,H1,18,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,18,Optuna-TPE,0.9949958125176231,0.0010629174790740621,15
H1-Hard,H1,19,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,19,Optuna-TPE,0.9949958125176231,0.0016391116441523098,15
H1-Hard,H1,20,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,20,Optuna-TPE,0.9949958125176231,0.001829877395337966,15
H1-Hard,H1,21,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,21,Optuna-TPE,0.9949958125176231,0.0010147059820426983,15
H1-Hard,H1,22,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,22,Optuna-TPE,0.9949958125176231,0.0011162821380616115,15
H1-Hard,H1,23,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,23,Optuna-TPE,0.9949958125176231,0.0013051743995527957,15
H1-Hard,H1,24,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,24,Optuna-TPE,0.9949958125176231,0.0011201424752887473,15
H1-Hard,H1,25,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,25,Optuna-TPE,0.9949958125176231,0.003388284493821433,15
H1-Hard,H1,26,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,26,Optuna-TPE,0.9949958125176231,0.001014291189563669,15
H1-Hard,H1,27,Default-KP,0.44848376845169147,1.3204145009412942,1
H1-Hard,H1,27,Optuna-TPE,0.9949958125176231,0.0011360006340848214,15
H1-Hard,H1,28,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,28,Optuna-TPE,0.9949958125176231,0.0010059069160232206,15
H1-Hard,H1,29,Default-KP,0.9949958125176231,1.3204145009412942,1
H1-Hard,H1,29,Optuna-TPE,0.9949958125176231,0.0011023172601763828,15
H2-Easy,H2,0,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,0,Optuna-TPE,0.1081023031502481,0.0010258740374781594,15
H2-Easy,H2,1,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,1,Optuna-TPE,0.10704684171087545,0.001056497841352004,15
H2-Easy,H2,2,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,2,Optuna-TPE,0.10704684171087545,0.001132184086991723,15
H2-Easy,H2,3,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,3,Optuna-TPE,0.1081023031502481,0.0012626665521941708,15
H2-Easy,H2,4,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,4,Optuna-TPE,0.1081023031502481,0.001032535755053712,15
H2-Easy,H2,5,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,5,Optuna-TPE,0.1081023031502481,0.001063639689500009,15
H2-Easy,H2,6,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,6,Optuna-TPE,0.10704684171087545,0.0010352630599474325,15
H2-Easy,H2,7,Default-KP,0.18469048516046202,0.5769724941087742,1
H2-Easy,H2,7,Optuna-TPE,0.1081023031502481,0.0011437897515012665,15
H2-Easy,H2,8,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,8,Optuna-TPE,0.1081023031502481,0.0010720793739375481,15
H2-Easy,H2,9,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,9,Optuna-TPE,0.1081023031502481,0.0011576335156465644,15
H2-Easy,H2,10,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,10,Optuna-TPE,0.1081023031502481,0.0010721128593066335,15
H2-Easy,H2,11,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,11,Optuna-TPE,0.10704684171087545,0.001042353439508851,15
H2-Easy,H2,12,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,12,Optuna-TPE,0.1081023031502481,0.001213455428886769,15
H2-Easy,H2,13,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,13,Optuna-TPE,0.10704684171087545,0.0010945811465973142,15
H2-Easy,H2,14,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,14,Optuna-TPE,0.1081023031502481,0.0010355446606907575,15
H2-Easy,H2,15,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,15,Optuna-TPE,0.10704684171087545,0.001002248207868087,15
H2-Easy,H2,16,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,16,Optuna-TPE,0.1081023031502481,0.0010564771133517849,15
H2-Easy,H2,17,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,17,Optuna-TPE,0.1081023031502481,0.0010684638083316605,15
H2-Easy,H2,18,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,18,Optuna-TPE,0.1081023031502481,0.0010629174790740621,15
H2-Easy,H2,19,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,19,Optuna-TPE,0.1081023031502481,0.0013113726174813687,15
H2-Easy,H2,20,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,20,Optuna-TPE,0.1081023031502481,0.0012202826781935905,15
H2-Easy,H2,21,Default-KP,0.16286917375259302,0.5769724941087742,1
H2-Easy,H2,21,Optuna-TPE,0.10704684171087545,0.0010147059820426983,15
H2-Easy,H2,22,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,22,Optuna-TPE,0.10704684171087545,0.0011162821380616115,15
H2-Easy,H2,23,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,23,Optuna-TPE,0.1081023031502481,0.0015021055290108806,15
H2-Easy,H2,24,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,24,Optuna-TPE,0.10704684171087545,0.0011201424752887473,15
H2-Easy,H2,25,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,25,Optuna-TPE,0.10704684171087545,0.001135062844625946,15
H2-Easy,H2,26,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,26,Optuna-TPE,0.10704684171087545,0.001014291189563669,15
H2-Easy,H2,27,Default-KP,0.3789451823471274,0.5769724941087742,1
H2-Easy,H2,27,Optuna-TPE,0.1081023031502481,0.0011360006340848214,15
H2-Easy,H2,28,Default-KP,0.382059063773636,0.5769724941087742,1
H2-Easy,H2,28,Optuna-TPE,0.10704684171087545,0.0010059069160232206,15
H2-Easy,H2,29,Default-KP,0.21330594637856845,0.5769724941087742,1
H2-Easy,H2,29,Optuna-TPE,0.10704684171087545,0.0011023172601763828,15
H2-Medium,H2,0,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,0,Optuna-TPE,0.7462476974348766,0.028718250465162135,15
H2-Medium,H2,1,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,1,Optuna-TPE,0.7462476974348766,0.001056497841352004,15
H2-Medium,H2,2,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,2,Optuna-TPE,0.7498272909667962,0.001132184086991723,15
H2-Medium,H2,3,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,3,Optuna-TPE,0.7462476974348766,0.0012626665521941708,15
H2-Medium,H2,4,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,4,Optuna-TPE,0.7498272909667962,0.001171937067240465,15
H2-Medium,H2,5,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,5,Optuna-TPE,0.7462476974348766,0.001063639689500009,15
H2-Medium,H2,6,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,6,Optuna-TPE,0.7498272909667962,0.0010895671914514537,15
H2-Medium,H2,7,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,7,Optuna-TPE,0.7462476974348766,0.0011437897515012665,15
H2-Medium,H2,8,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,8,Optuna-TPE,0.7462476974348766,0.0017527806142361019,15
H2-Medium,H2,9,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,9,Optuna-TPE,0.7462476974348766,0.0011663867956400612,15
H2-Medium,H2,10,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,10,Optuna-TPE,0.7498272909667962,0.0018293062054864397,15
H2-Medium,H2,11,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,11,Optuna-TPE,0.7462476974348766,0.001042353439508851,15
H2-Medium,H2,12,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,12,Optuna-TPE,0.7498272909667962,0.0017443512715219196,15
H2-Medium,H2,13,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,13,Optuna-TPE,0.7498272909667962,0.0010945811465973142,15
H2-Medium,H2,14,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,14,Optuna-TPE,0.7462476974348766,0.0010355446606907575,15
H2-Medium,H2,15,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,15,Optuna-TPE,0.7462476974348766,0.001002248207868087,15
H2-Medium,H2,16,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,16,Optuna-TPE,0.7498272909667962,0.0010564771133517849,15
H2-Medium,H2,17,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,17,Optuna-TPE,0.7462476974348766,0.0010684638083316605,15
H2-Medium,H2,18,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,18,Optuna-TPE,0.7498272909667962,0.001092347422971545,15
H2-Medium,H2,19,Default-KP,0.433147070458485,1.0022845589134997,1
H2-Medium,H2,19,Optuna-TPE,0.7462476974348766,0.0012865305224409778,15
H2-Medium,H2,20,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,20,Optuna-TPE,0.7462476974348766,0.0012202826781935905,15
H2-Medium,H2,21,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,21,Optuna-TPE,0.7498272909667962,0.002077943834699553,15
H2-Medium,H2,22,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,22,Optuna-TPE,0.7498272909667962,0.0011162821380616115,15
H2-Medium,H2,23,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,23,Optuna-TPE,0.7498272909667962,0.0013051743995527957,15
H2-Medium,H2,24,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,24,Optuna-TPE,0.7462476974348766,0.0011201424752887473,15
H2-Medium,H2,25,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,25,Optuna-TPE,0.7462476974348766,0.003388284493821433,15
H2-Medium,H2,26,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,26,Optuna-TPE,0.7462476974348766,0.001014291189563669,15
H2-Medium,H2,27,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,27,Optuna-TPE,0.7462476974348766,0.0011360006340848214,15
H2-Medium,H2,28,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,28,Optuna-TPE,0.7462476974348766,0.0010778389014671735,15
H2-Medium,H2,29,Default-KP,0.8690268420605997,1.0022845589134997,1
H2-Medium,H2,29,Optuna-TPE,0.7462476974348766,0.0011023230915046642,15
H2-Hard,H2,0,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,0,Optuna-TPE,0.8477046401040063,0.0012285736126004699,15
H2-Hard,H2,1,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,1,Optuna-TPE,0.8477046401040063,0.001056497841352004,15
H2-Hard,H2,2,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,2,Optuna-TPE,0.8477046401040063,0.001132184086991723,15
H2-Hard,H2,3,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,3,Optuna-TPE,0.8477046401040063,0.0012626665521941708,15
H2-Hard,H2,4,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,4,Optuna-TPE,0.8477046401040063,0.0013583384204543607,15
H2-Hard,H2,5,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,5,Optuna-TPE,0.8477046401040063,0.001063639689500009,15
H2-Hard,H2,6,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,6,Optuna-TPE,0.8477046401040063,0.0010911338691612866,15
H2-Hard,H2,7,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,7,Optuna-TPE,0.8477046401040063,0.0011437897515012665,15
H2-Hard,H2,8,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,8,Optuna-TPE,0.8477046401040063,0.0010720793739375481,15
H2-Hard,H2,9,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,9,Optuna-TPE,0.8477046401040063,0.0011663867956400612,15
H2-Hard,H2,10,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,10,Optuna-TPE,0.8477046401040063,0.0018293062054864397,15
H2-Hard,H2,11,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,11,Optuna-TPE,0.8477046401040063,0.0024767734615876833,15
H2-Hard,H2,12,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,12,Optuna-TPE,0.8477046401040063,0.0017443512715219196,15
H2-Hard,H2,13,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,13,Optuna-TPE,0.8477046401040063,0.0010945811465973142,15
H2-Hard,H2,14,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,14,Optuna-TPE,0.8477046401040063,0.0010355446606907575,15
H2-Hard,H2,15,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,15,Optuna-TPE,0.8477046401040063,0.001002248207868087,15
H2-Hard,H2,16,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,16,Optuna-TPE,0.8477046401040063,0.0010564771133517849,15
H2-Hard,H2,17,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,17,Optuna-TPE,0.8477046401040063,0.0032932435943051953,15
H2-Hard,H2,18,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,18,Optuna-TPE,0.8477046401040063,0.001092347422971545,15
H2-Hard,H2,19,Default-KP,0.44225310806026147,1.267672026654879,1
H2-Hard,H2,19,Optuna-TPE,0.8477046401040063,0.0012865305224409778,15
H2-Hard,H2,20,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,20,Optuna-TPE,0.8477046401040063,0.0012202826781935905,15
H2-Hard,H2,21,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,21,Optuna-TPE,0.8477046401040063,0.002077943834699553,15
H2-Hard,H2,22,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,22,Optuna-TPE,0.8477046401040063,0.0011162821380616115,15
H2-Hard,H2,23,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,23,Optuna-TPE,0.8477046401040063,0.0013051743995527957,15
H2-Hard,H2,24,Default-KP,0.9414678034948596,1.267672026654879,1
H2-Hard,H2,24,Optuna-TPE,0.8477046401040063,0.0011201424752887473,15
H2-Hard,H2,25,Default-KP,0.9414678034948596,1.267672026654879,1
